"","dia","mes","anio","hora","co_centenario","no2_centenario","pm10_centenario","co_cordoba","no2_cordoba","pm10_cordoba","co_la_boca","no2_la_boca","pm10_la_boca"
"1",1,"Ene",2019,1,0.46,7,19,0.36,11,NA,0.48,10,23
"2",1,"Ene",2019,2,0.47,9,19,0.41,13,NA,0.46,11,23
"3",1,"Ene",2019,3,0.48,11,19,0.46,12,NA,0.46,12,23
"4",1,"Ene",2019,4,0.48,16,19,0.5,10,NA,0.46,11,24
"5",1,"Ene",2019,5,0.46,10,19,0.54,10,NA,0.45,9,24
"6",1,"Ene",2019,6,0.42,13,19,0.58,9,NA,0.44,8,24
"7",1,"Ene",2019,7,0.4,14,19,0.6,9,NA,0.44,9,25
"8",1,"Ene",2019,8,0.38,11,19,0.62,7,NA,0.42,9,24
"9",1,"Ene",2019,9,0.37,8,20,0.61,7,NA,0.43,8,24
"10",1,"Ene",2019,10,0.36,4,19,0.59,6,NA,0.43,8,24
"11",1,"Ene",2019,11,0.36,4,19,0.57,6,NA,0.44,5,23
"12",1,"Ene",2019,12,0.36,5,18,0.57,6,NA,0.44,6,23
"13",1,"Ene",2019,13,0.36,4,18,0.56,6,NA,0.44,5,23
"14",1,"Ene",2019,14,0.37,9,19,0.56,9,NA,0.45,7,23
"15",1,"Ene",2019,15,0.38,11,19,0.57,9,NA,0.45,7,24
"16",1,"Ene",2019,16,0.39,11,19,0.58,11,NA,0.46,7,24
"17",1,"Ene",2019,17,0.4,8,19,0.59,8,NA,0.46,7,24
"18",1,"Ene",2019,18,0.42,14,19,0.6,8,NA,0.48,10,23
"19",1,"Ene",2019,19,0.44,22,19,0.62,10,NA,0.51,12,23
"20",1,"Ene",2019,20,0.46,13,19,0.64,10,NA,0.53,10,22
"21",1,"Ene",2019,21,0.48,12,18,0.65,11,NA,0.54,9,22
"22",1,"Ene",2019,22,0.49,13,17,0.66,19,NA,0.56,11,22
"23",1,"Ene",2019,23,0.5,14,17,0.66,9,NA,0.58,10,23
"24",1,"Ene",2019,24,0.51,11,16,0.66,7,NA,0.58,8,22
"25",2,"Ene",2019,1,0.5,7,16,0.66,7,NA,0.58,10,22
"26",2,"Ene",2019,2,0.49,6,15,0.67,7,NA,0.57,7,21
"27",2,"Ene",2019,3,0.47,8,15,0.67,7,NA,0.55,8,21
"28",2,"Ene",2019,4,0.45,7,14,0.68,6,NA,0.54,7,20
"29",2,"Ene",2019,5,0.42,8,14,0.68,7,NA,0.54,8,20
"30",2,"Ene",2019,6,0.41,9,13,0.69,8,NA,0.53,12,19
"31",2,"Ene",2019,7,0.39,14,13,0.69,11,NA,0.54,13,19
"32",2,"Ene",2019,8,0.39,12,13,0.71,11,NA,0.56,12,20
"33",2,"Ene",2019,9,0.41,13,13,0.72,11,NA,0.58,12,20
"34",2,"Ene",2019,10,0.43,14,13,0.73,13,NA,0.61,15,20
"35",2,"Ene",2019,11,0.47,11,13,0.76,13,NA,0.64,14,20
"36",2,"Ene",2019,12,0.48,12,12,0.79,19,NA,0.66,20,20
"37",2,"Ene",2019,13,0.51,NA,13,0.82,20,NA,0.7,26,22
"38",2,"Ene",2019,14,0.51,NA,14,0.88,23,NA,0.71,17,23
"39",2,"Ene",2019,15,0.52,15,14,0.96,26,NA,0.7,17,22
"40",2,"Ene",2019,16,0.53,19,13,1.02,22,NA,0.69,15,21
"41",2,"Ene",2019,17,0.54,17,13,1.1,26,NA,0.68,19,21
"42",2,"Ene",2019,18,0.55,24,13,1.18,33,NA,0.69,19,20
"43",2,"Ene",2019,19,0.54,26,12,1.27,33,NA,0.69,20,18
"44",2,"Ene",2019,20,0.54,22,13,1.3,28,NA,0.68,22,18
"45",2,"Ene",2019,21,0.52,21,14,1.32,25,NA,0.66,27,18
"46",2,"Ene",2019,22,0.52,18,14,1.3,22,NA,0.66,24,17
"47",2,"Ene",2019,23,0.49,16,14,1.26,22,NA,0.66,23,16
"48",2,"Ene",2019,24,0.44,10,13,1.21,16,NA,0.65,20,16
"49",3,"Ene",2019,1,0.38,4,13,1.13,11,NA,0.61,27,16
"50",3,"Ene",2019,2,0.31,4,14,1.02,10,NA,0.56,10,16
"51",3,"Ene",2019,3,0.24,3,14,0.91,9,NA,0.5,7,16
"52",3,"Ene",2019,4,0.18,4,15,0.82,18,NA,0.44,7,17
"53",3,"Ene",2019,5,0.13,3,15,0.76,25,NA,0.39,8,17
"54",3,"Ene",2019,6,0.09,5,15,0.71,16,NA,0.33,12,17
"55",3,"Ene",2019,7,0.06,8,15,0.67,19,NA,0.29,14,17
"56",3,"Ene",2019,8,0.05,11,15,0.67,22,NA,0.25,12,17
"57",3,"Ene",2019,9,0.05,11,16,0.69,26,NA,0.24,11,17
"58",3,"Ene",2019,10,0.06,10,16,0.73,24,NA,0.23,8,16
"59",3,"Ene",2019,11,0.08,10,16,0.75,21,NA,0.23,9,16
"60",3,"Ene",2019,12,0.1,11,16,0.8,24,NA,0.24,14,17
"61",3,"Ene",2019,13,0.13,11,16,0.82,21,NA,0.25,13,14
"62",3,"Ene",2019,14,0.15,10,15,0.84,21,NA,0.26,16,12
"63",3,"Ene",2019,15,0.17,11,15,0.85,27,NA,0.27,18,14
"64",3,"Ene",2019,16,0.18,18,15,0.8,23,NA,0.28,18,16
"65",3,"Ene",2019,17,0.19,21,16,0.75,24,NA,0.29,18,17
"66",3,"Ene",2019,18,0.21,20,16,0.7,24,NA,0.31,17,18
"67",3,"Ene",2019,19,0.22,20,16,0.69,24,NA,0.33,19,19
"68",3,"Ene",2019,20,0.23,27,16,0.66,27,NA,0.33,22,20
"69",3,"Ene",2019,21,0.24,29,16,0.64,24,NA,0.34,26,19
"70",3,"Ene",2019,22,0.26,29,16,0.64,27,NA,0.36,21,19
"71",3,"Ene",2019,23,0.27,25,16,0.64,25,NA,0.37,23,19
"72",3,"Ene",2019,24,0.27,21,17,0.64,19,NA,0.37,21,19
"73",4,"Ene",2019,1,0.27,12,17,0.64,12,NA,0.37,16,19
"74",4,"Ene",2019,2,0.25,10,17,0.63,13,NA,0.37,15,19
"75",4,"Ene",2019,3,0.22,10,16,0.6,12,NA,0.36,13,19
"76",4,"Ene",2019,4,0.19,8,16,0.57,6,NA,0.35,21,19
"77",4,"Ene",2019,5,0.17,9,16,0.55,6,NA,0.34,19,19
"78",4,"Ene",2019,6,0.14,11,16,0.53,9,NA,0.33,17,19
"79",4,"Ene",2019,7,0.13,12,16,0.5,14,NA,0.34,16,19
"80",4,"Ene",2019,8,0.13,14,16,0.51,13,NA,0.36,15,20
"81",4,"Ene",2019,9,0.15,17,15,0.51,15,NA,0.37,18,20
"82",4,"Ene",2019,10,0.18,21,16,0.53,18,NA,0.39,26,20
"83",4,"Ene",2019,11,0.22,19,17,0.55,20,NA,0.41,22,21
"84",4,"Ene",2019,12,0.26,22,17,0.58,20,NA,0.43,25,22
"85",4,"Ene",2019,13,0.29,20,17,0.59,14,NA,0.45,28,22
"86",4,"Ene",2019,14,0.32,23,18,0.61,14,NA,0.45,24,22
"87",4,"Ene",2019,15,0.34,20,18,0.61,14,NA,0.44,25,20
"88",4,"Ene",2019,16,0.36,19,19,0.61,13,NA,0.44,NA,19
"89",4,"Ene",2019,17,0.36,19,19,0.61,15,NA,0.46,25,18
"90",4,"Ene",2019,18,0.35,16,18,0.61,15,NA,0.48,25,17
"91",4,"Ene",2019,19,0.35,22,19,0.6,19,NA,0.51,32,17
"92",4,"Ene",2019,20,0.34,26,19,0.6,24,NA,0.56,44,18
"93",4,"Ene",2019,21,0.35,30,19,0.61,29,NA,0.6,41,19
"94",4,"Ene",2019,22,0.37,29,19,0.62,33,NA,0.66,39,19
"95",4,"Ene",2019,23,0.38,28,19,0.64,30,NA,0.66,39,20
"96",4,"Ene",2019,24,0.39,23,19,0.65,23,NA,0.65,39,21
"97",5,"Ene",2019,1,0.39,14,19,0.65,16,NA,0.63,26,21
"98",5,"Ene",2019,2,0.38,12,20,0.65,13,NA,0.59,21,22
"99",5,"Ene",2019,3,0.37,11,20,0.64,11,NA,0.56,20,22
"100",5,"Ene",2019,4,0.36,13,20,0.63,16,NA,0.52,14,22
"101",5,"Ene",2019,5,0.33,10,20,0.63,12,NA,0.48,19,22
"102",5,"Ene",2019,6,0.29,13,20,0.62,10,NA,0.43,23,22
"103",5,"Ene",2019,7,0.26,13,20,0.6,16,NA,0.39,19,22
